index,latency,jitter,recv-time,recv-size
4979,0.000205,9.999999999999972e-07,1648493060565754005,55
4980,0.000169,3.600000000000001e-05,1648493060566688938,55
4981,0.000212,4.3000000000000015e-05,1648493060567777310,55
4982,0.000222,9.999999999999999e-06,1648493060568829335,55
4983,0.000189,3.299999999999999e-05,1648493060569772218,55
4984,0.000183,6.00000000000001e-06,1648493060570777519,55
4985,0.000187,3.999999999999989e-06,1648493060571811187,55
4986,0.000203,1.600000000000001e-05,1648493060572876611,55
4987,0.000182,2.0999999999999995e-05,1648493060573831147,55
4988,0.000163,1.9e-05,1648493060574793624,55
4989,0.00019,2.7000000000000006e-05,1648493060575919292,55
4990,0.00017,1.9999999999999998e-05,1648493060576816681,55
4991,0.000172,1.9999999999999944e-06,1648493060577836740,55
4992,0.000168,4.000000000000016e-06,1648493060578847234,55
4993,0.000205,3.7000000000000005e-05,1648493060579974180,55
4994,0.0002,4.999999999999986e-06,1648493060580958453,55
4995,0.000181,1.9e-05,1648493060581923589,55
4996,0.000179,2.0000000000000215e-06,1648493060582931493,55
4997,0.000176,2.9999999999999916e-06,1648493060583936404,55
4998,0.000174,1.9999999999999944e-06,1648493060584942770,55
4999,0.000173,9.999999999999972e-07,1648493060585946118,55
5000,0.000187,1.3999999999999988e-05,1648493060586996029,55
5001,0.000176,1.0999999999999996e-05,1648493060588006173,55
5002,0.000183,7.0000000000000075e-06,1648493060589035032,55
5003,0.000196,1.299999999999999e-05,1648493060590074158,55
5004,0.000195,9.999999999999972e-07,1648493060591086062,55
5005,0.000184,1.0999999999999996e-05,1648493060592087891,55
5006,0.000184,0.0,1648493060593092406,55
5007,0.000205,2.0999999999999995e-05,1648493060594170005,55
5008,0.000245,3.9999999999999996e-05,1648493060595284616,55
5009,0.000197,4.8e-05,1648493060596256475,55
5010,0.000217,1.9999999999999998e-05,1648493060597326144,55
5011,0.000183,3.3999999999999986e-05,1648493060598238974,55
5012,0.000173,9.999999999999999e-06,1648493060599340372,55
5013,0.00018,7.0000000000000075e-06,1648493060600283283,55
5014,0.000182,1.9999999999999944e-06,1648493060601283525,55
5015,0.000184,1.9999999999999944e-06,1648493060602280336,55
5016,0.000222,3.8e-05,1648493060603508524,55
5017,0.000195,2.7000000000000006e-05,1648493060604324685,55
5018,0.000188,7.0000000000000075e-06,1648493060605454973,55
5019,0.000211,2.3000000000000017e-05,1648493060606401095,55
5020,0.000216,4.999999999999986e-06,1648493060607395488,55
5021,0.00021,5.999999999999983e-06,1648493060608396194,55
5022,0.000219,9.000000000000002e-06,1648493060609411412,55
5023,0.00019,2.9e-05,1648493060610358787,55
5024,0.00021,1.9999999999999998e-05,1648493060611391480,55
5025,0.000191,1.9e-05,1648493060612354854,55
5026,0.000212,2.0999999999999995e-05,1648493060613391000,55
5027,0.000199,1.299999999999999e-05,1648493060614370100,55
5028,0.000199,0.0,1648493060615375012,55
5029,0.000173,2.600000000000001e-05,1648493060616323284,55
5030,0.000179,5.999999999999983e-06,1648493060617338034,55
5031,0.000205,2.600000000000001e-05,1648493060618393832,55
5032,0.000207,1.9999999999999944e-06,1648493060619408305,55
5033,0.000189,1.7999999999999977e-05,1648493060620366987,55
5034,0.000176,1.3000000000000018e-05,1648493060621361918,55
5035,0.000188,1.1999999999999994e-05,1648493060622392185,55
5036,0.000235,4.7000000000000004e-05,1648493060623514975,55
5037,0.000208,2.7000000000000006e-05,1648493060624509678,55
5038,0.000189,1.8999999999999974e-05,1648493060625511447,55
5039,0.000183,6.00000000000001e-06,1648493060626547719,55
5040,0.000217,3.3999999999999986e-05,1648493060627613761,55
5041,0.000221,4.000000000000016e-06,1648493060628639511,55
5042,0.000186,3.500000000000001e-05,1648493060629618281,55
5043,0.00016,2.599999999999998e-05,1648493060630562953,55
5044,0.000199,3.9e-05,1648493060631755161,55
5045,0.000192,7.0000000000000075e-06,1648493060632658723,55
5046,0.000176,1.600000000000001e-05,1648493060633628232,55
5047,0.000201,2.500000000000001e-05,1648493060634722954,55
5048,0.000191,9.999999999999999e-06,1648493060635670233,55
5049,0.000159,3.200000000000002e-05,1648493060636602883,55
5050,0.00017,1.1000000000000023e-05,1648493060637628215,55
5051,0.000253,8.300000000000001e-05,1648493060638897620,55
5052,0.000221,3.200000000000002e-05,1648493060639796291,55
5053,0.000218,2.9999999999999916e-06,1648493060640779914,55
5054,0.000227,8.999999999999975e-06,1648493060641832172,55
5055,0.000205,2.1999999999999993e-05,1648493060642852267,55
5056,0.000213,8.000000000000005e-06,1648493060643866823,55
5057,0.000184,2.9e-05,1648493060644810920,55
5058,0.000174,9.999999999999999e-06,1648493060645810749,55
5059,0.00019,1.600000000000001e-05,1648493060646891832,55
5060,0.00018,9.999999999999999e-06,1648493060647863080,55
5061,0.000178,2.0000000000000215e-06,1648493060648865430,55
5062,0.000178,0.0,1648493060649876706,55
5063,0.000206,2.8000000000000003e-05,1648493060650937488,55
5064,0.000223,1.7000000000000007e-05,1648493060651980917,55
5065,0.000214,9.000000000000002e-06,1648493060652972595,55
5066,0.000181,3.299999999999999e-05,1648493060653976036,55
5067,0.000227,4.599999999999998e-05,1648493060655071218,55
5068,0.000227,0.0,1648493060656072618,55
5069,0.000229,2.0000000000000215e-06,1648493060657071557,55
5070,0.000216,1.3000000000000018e-05,1648493060658043497,55
5071,0.000242,2.600000000000001e-05,1648493060659150092,55
5072,0.000211,3.0999999999999995e-05,1648493060660210638,55
5073,0.000193,1.8000000000000004e-05,1648493060661036176,55
5074,0.000185,8.000000000000005e-06,1648493060662018489,55
5075,0.00019,5.000000000000013e-06,1648493060663036259,55
5076,0.000181,9.000000000000002e-06,1648493060664068501,55
5077,0.000194,1.299999999999999e-05,1648493060665064243,55
5078,0.00018,1.3999999999999988e-05,1648493060666055756,55
5079,0.000214,3.3999999999999986e-05,1648493060667147737,55
5080,0.000216,1.9999999999999944e-06,1648493060668231188,55
5081,0.000224,8.000000000000005e-06,1648493060669182340,55
5082,0.00022,3.999999999999989e-06,1648493060670202355,55
5083,0.000238,1.8000000000000004e-05,1648493060671234096,55
5084,0.000205,3.3000000000000016e-05,1648493060672202576,55
5085,0.000229,2.4000000000000014e-05,1648493060673351716,55
5086,0.000214,1.5000000000000012e-05,1648493060674303991,55
5087,0.000213,9.999999999999972e-07,1648493060675245187,55
5088,0.000187,2.600000000000001e-05,1648493060676205491,55
5089,0.000186,9.999999999999972e-07,1648493060677220970,55
5090,0.000182,3.999999999999989e-06,1648493060678216196,55
5091,0.000179,3.0000000000000187e-06,1648493060679210944,55
5092,0.000166,1.299999999999999e-05,1648493060680187718,55
5093,0.000174,8.000000000000005e-06,1648493060681197926,55
5094,0.000176,1.9999999999999944e-06,1648493060682206820,55
5095,0.000178,1.9999999999999944e-06,1648493060683215140,55
5096,0.000172,5.999999999999983e-06,1648493060684197157,55
5097,0.000178,5.999999999999983e-06,1648493060685222601,55
5098,0.00018,2.0000000000000215e-06,1648493060686233252,55
5099,0.000182,1.9999999999999944e-06,1648493060687248272,55
5100,0.000216,3.3999999999999986e-05,1648493060688324358,55
5101,0.000172,4.3999999999999985e-05,1648493060689251262,55
5102,0.000198,2.599999999999998e-05,1648493060690578507,55
5103,0.000211,1.3000000000000018e-05,1648493060691415578,55
5104,0.000191,1.9999999999999998e-05,1648493060692338249,55
5105,0.000187,4.000000000000016e-06,1648493060693374894,55
5106,0.000197,9.999999999999999e-06,1648493060694391393,55
5107,0.000208,1.0999999999999996e-05,1648493060695417361,55
5108,0.000199,8.999999999999975e-06,1648493060696395485,55
5109,0.000195,4.000000000000016e-06,1648493060697420252,55
5110,0.000206,1.0999999999999996e-05,1648493060698483773,55
5111,0.000194,1.1999999999999994e-05,1648493060699424209,55
